title,location,distance,description,verdict,rating,experience
Riad dar Ourika,"Médina, Marrakech","1,1 km du centre","Situé au cœur de la médina, à 5 minutes à pied de la place Jamaâ El Fna, le Riad dar Ourika propose un toit-terrasse avec des chaises longues qui offre une vue sur l'Atlas et la médina. ",Fabuleux  ,"9,1",270 expériences vécues
Palais Dar Si Aissa ALL-SUITES,"Médina, Marrakech","0,9 km du centre","Doté d'un bar, le Palais Dar Si Aissa ALL-SUITES est situé à Marrakech, dans la région de Marrakech-Safi, à 300 mètres du Jardin Secret et du musée de Mouassine. ",Très bien ,"8,2",54 expériences vécues
Riad Miloud,Marrakech,1 km du centre,Établissement Voyage Durable,Exceptionnel ,"9,5",26 expériences vécues
Riad El Hara,Marrakech,450 m du centre,"Doté d'un bar et de services de massage, le Riad El Hara est situé à Marrakech, à 1,6 km du jardin Majorelle et à 1,5 km du musée Yves Saint Laurent. ",Exceptionnel ,"9,9",14 expériences vécues
Riad BILKIS,"Médina, Marrakech","0,8 km du centre","Situé à Marrakech, à 1,1 km du Jardin Secret, le Riad BILKIS propose un restaurant, une connexion Wi-Fi gratuite, une cuisine commune et un service d'étage. Il possède un patio et une terrasse. ",Fabuleux  ,"9,4",16 expériences vécues
Hotel Central Palace,"Médina, Marrakech","1,2 km du centre","Situé à Marrakech, à 700 mètres du minaret de la mosquée Koutoubia, l'Hotel Central Palace propose des hébergements avec terrasse. ",Bien  ,"7,7",671 expériences vécues
Stars Hotel & Spa,Marrakech,"0,6 km du centre",Établissement Voyage Durable,Très bien ,"8,0",1 267 expériences vécues
Hotel Imperial Plaza & Spa,Marrakech,"2,5 km du centre","L'Hotel Imperial Plaza & Spa est situé au centre de Marrakech. L’établissement dispose d'un spa et centre de bien-être, ainsi que d'un toit-terrasse avec piscine offrant une vue panoramique sur la...",Note ,"6,9",1 821 expériences vécues
Riad Lamya Marrakech,"Médina, Marrakech","0,9 km du centre","Idéalement situé dans le centre de Marrakech, le Riad Lamya Marrakech propose des chambres climatisées, un salon commun et une terrasse. ",Fabuleux  ,"9,4",367 expériences vécues
Riad el Marah,"Médina, Marrakech","1,5 km du centre","Situé au cœur de Marrakech, à 1,1 km du minaret de la Koutoubia, le Riad el Marah vous propose une terrasse, un salon commun, un restaurant, une connexion Wi-Fi gratuite et un parking sur place. ",Superbe ,"8,9",225 expériences vécues
Riad Chocolat,"Médina, Marrakech","2,6 km du centre",Établissement Voyage Durable,Exceptionnel ,"9,5",34 expériences vécues
Riad Alwane,"Médina, Marrakech","1,8 km du centre","Situé au cœur de la médina de Marrakech, le Riad Alwane est doté d'une piscine. Vous pourrez vous détendre dans son environnement paisible. ",Bien  ,"7,7",203 expériences vécues
Riad Babouchta & Spa,"Médina, Marrakech","1,1 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,2",737 expériences vécues
Palais Blanc Riad,"Médina, Marrakech","1,2 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,2",280 expériences vécues
Riad Bensaid,"Médina, Marrakech","1,4 km du centre",Le Riad Bensaid est situé à Marrakech. Une connexion Wi-Fi est disponible gratuitement. Ses chambres bénéficient de la climatisation et d'une salle de bains privative pourvue d'une baignoire. ,Fabuleux  ,"9,2",138 expériences vécues
VILLA ILYANA,Marrakech,"6,7 km du centre","Situé à Marrakech, à 7 km du palais de la Bahia et du musée de Marrakech, le Villa Ilyana propose un hébergement avec une piscine extérieure, un barbecue, Il offre une vue sur la montagne et la...",Fabuleux  ,"9,2",43 expériences vécues
Riad Utopia Suites And Spa,"Médina, Marrakech","0,9 km du centre","Le Riad Utopia Suites And Spa se trouve dans le centre de Marrakech, à quelques pas de la place Jamaâ El Fna. Il propose une piscine et un spa affichant un style architectural marocain traditionnel. ",Fabuleux  ,"9,4",550 expériences vécues
Riad N10,"Médina, Marrakech","1,4 km du centre",Établissement Voyage Durable,Superbe ,"8,7",236 expériences vécues
Riad La Porte des 5 Jardins,"Médina, Marrakech","1,1 km du centre","Idéalement situé à Marrakech, Le Riad La Porte des 5 Jardins propose des chambres climatisées, un salon commun et une terrasse. ",Fabuleux  ,"9,1",39 expériences vécues
Riad Dar Beldia and Spa,Marrakech,"2,1 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,1",280 expériences vécues
Riad Arabkech,"Médina, Marrakech","1,4 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,2",52 expériences vécues
Riad Malika,"Médina, Marrakech","0,6 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,0",123 expériences vécues
Dar Titrit,"Médina, Marrakech","1,2 km du centre","Situé près des souks de la Médina et à 10 minutes à pied de la place Jamaâ El Fna, le Dar Titrit propose des chambres décorées individuellement qui sont dotées de la climatisation et d'une connexion...",Fabuleux  ,"9,3",180 expériences vécues
Riad Trésor Marrakech,"Médina, Marrakech","1,3 km du centre","L'Riad Trésor Marrakech est situé au cœur de Marrakech, à 5 minutes de la célèbre place Djemaa el-Fna. Il propose des chambres dans un riad traditionnel avec connexion Wi-Fi gratuite. ",Exceptionnel ,"9,6",37 expériences vécues
Riyad Al Moussika,"Médina, Marrakech","1,6 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,2",105 expériences vécues
Dar Anika,"Médina, Marrakech","1,7 km du centre","Doté d'une cour avec une piscine et d'une terrasse donnant sur la médina, le riad Dar Anika propose des chambres climatisées, à 5 minutes à pied de la place Jamaâ El Fna. ",Exceptionnel ,"9,5",152 expériences vécues
Riad l'Heure d'Eté,"Médina, Marrakech","1,3 km du centre","Situé dans la médina de Marrakech à seulement 3 minutes à pied de la place Jamaâ El Fna, ce riad occupe une maison restaurée à l'architecture traditionnelle. ",Superbe ,"8,8",312 expériences vécues
Sillage Palace,Marrakech,"0,9 km du centre","Situé à Marrakech, le Sillage Palace propose un restaurant, une piscine extérieure, un salon commun et un jardin. Il propose un service de concierge et un casino. La réception est ouverte 24h/24. ",Exceptionnel ,"9,5",48 expériences vécues
Palais Mirage d'Atlas - Hotel et Spa & Pool Pass,"La Palmeraie, Marrakech","9,3 km du centre",Établissement Voyage Durable,Superbe ,"8,9",386 expériences vécues
Riad Janate & SPA,"Médina, Marrakech","1,5 km du centre","Situé à Marrakech, à moins de 400 mètres du musée orientaliste de Marrakech, le Riad Janate & SPA propose un service d’enregistrement et de départ rapide, des chambres non-fumeurs, un salon commun,...",Fabuleux  ,"9,3",340 expériences vécues
Riad Flam & Spa,"Médina, Marrakech","1,8 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,1",300 expériences vécues
Riad Anya & SPA,Marrakech,"1,1 km du centre",Établissement Voyage Durable,Exceptionnel ,"9,8",379 expériences vécues
Dar Salam Palm - All Inclusive,"Médina, Marrakech","0,9 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,0",870 expériences vécues
Riad Shanima SPA Marrakech,"Médina, Marrakech","0,7 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,4",106 expériences vécues
Riad Bindoo & Spa,"Médina, Marrakech","0,6 km du centre","Doté d'une piscine intérieure et d'un restaurant, le Riad Bindoo & Spa se situe à Marrakech. Une connexion Wi-Fi est disponible gratuitement. Les chambres climatisées comprennent toutes un coin salon....",Fabuleux  ,"9,2",284 expériences vécues
Riad AIX KABAJ & SPA,"Médina, Marrakech","1,6 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,1",171 expériences vécues
DAR CHIBANIA,"Médina, Marrakech","2,4 km du centre",Établissement Voyage Durable,Exceptionnel ,"9,5",101 expériences vécues
Nkhila Lodge,Marrakech,"27,3 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,1",68 expériences vécues
Riad Bayti,"Mellah, Marrakech","1,9 km du centre",Établissement Voyage Durable,Exceptionnel ,"9,5",488 expériences vécues
Riad Chorfa,"Médina, Marrakech",1 km du centre,Cette maison d'hôtes se trouve à 400 mètres de la place Jamaâ El Fna et à 2 minutes à pied des marchés traditionnels. ,Superbe ,"8,9",272 expériences vécues
Riad Dar Merzouga Hammam & Jacuzzi,"Médina, Marrakech","1,2 km du centre",Établissement Voyage Durable,Superbe ,"8,9",67 expériences vécues
Riad Omara al Kasbah,"Kasbah, Marrakech","1,8 km du centre",Établissement Voyage Durable,Superbe ,"8,9",396 expériences vécues
Dar Darma,"Médina, Marrakech","1,5 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,1",103 expériences vécues
Dar Akal,"Médina, Marrakech","1,6 km du centre","Situé à Marrakech, à seulement 10 minutes à pied de la place Jemaâ El Fna, le Dar Akal dispose d'un toit-terrasse avec un bassin profond, une vue sur la médina et un hammam. ",Exceptionnel ,"9,6",201 expériences vécues
Villa entière GOLF MARRAKECH,Marrakech,"14,2 km du centre","Située à Marrakech, la Villa entière GOLF MARRAKECH propose des hébergements avec une connexion Wi-Fi gratuite, la climatisation, un restaurant et l'accès à un jardin avec une piscine extérieure...",Fabuleux  ,"9,2",19 expériences vécues
Riad Les Hirondelles Boutique Hotel,"Médina, Marrakech","1,4 km du centre",Établissement Voyage Durable,Exceptionnel ,"9,5",191 expériences vécues
Dar Sabra,"La Palmeraie, Marrakech","6,7 km du centre","Installé dans un jardin de 2 hectares situé au cœur de la palmeraie de Marrakech, le Dar Sabra est un établissement design proposant une villa de 2 chambres ainsi que des hébergements de style...",Fabuleux  ,"9,1",107 expériences vécues
The Source,Marrakech,"11,8 km du centre","L'établissement The Source vous accueille à El Harkat, à 12 km de Marrakech. Il possède un restaurant et un bar aménagé près d'une piscine chauffée. ",Très bien ,"8,3",173 expériences vécues
Riad et Spa Misria Les Orangers,"Médina, Marrakech","1,3 km du centre",Établissement Voyage Durable,Superbe ,"8,9",242 expériences vécues
Kahena Lifestyle Concept,"Médina, Marrakech","1,4 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,2",119 expériences vécues
Riad Jnane d'Ô,"Médina, Marrakech","0,7 km du centre","Le Riad Jnane d'Ô vous accueille à Marrakech, à 3 km du palais de la Bahia et à 2 km du jardin Majorelle. ",Exceptionnel ,"9,8",80 expériences vécues
Riad Emberiza Sahari,"Médina, Marrakech","1,4 km du centre",Établissement Voyage Durable,Exceptionnel ,"9,6",64 expériences vécues
Riad 11 Zitoune,"Médina, Marrakech","1,3 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,4",208 expériences vécues
Riad abaka by ghali 2,"Médina, Marrakech","0,9 km du centre",Établissement Voyage Durable,Très bien ,"8,1",207 expériences vécues
Riad Milouda,"Médina, Marrakech","1,4 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,0",399 expériences vécues
Riad Awa,"Kasbah, Marrakech","1,6 km du centre",Établissement Voyage Durable,Superbe ,"8,6",57 expériences vécues
Riad l'Escale de Marrakech,Marrakech,"3,6 km du centre",Établissement Voyage Durable,Superbe ,"8,8",51 expériences vécues
Dar Zelda,"Médina, Marrakech","1,6 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,3",215 expériences vécues
Riad 144,"Médina, Marrakech","1,3 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,3",119 expériences vécues
Riad La Maison Nomade,"Médina, Marrakech","1,3 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,0",9 expériences vécues
Hotel & Spa Riad Dar El Aila,"Médina, Marrakech","1,1 km du centre","Situé à 15 minutes de marche de la place Jemaâ El Fna et du jardin Majorelle, le Riad Dar El Aila possède une piscine, une terrasse avec vue sur la médina et les montagnes de l'Atlas, une salle de...",Superbe ,"8,6",307 expériences vécues
Riad Hadika Maria,"Médina, Marrakech","1,5 km du centre",Cette maison d'hôtes marocaine traditionnelle propose des chambres. ,Fabuleux  ,"9,1",99 expériences vécues
Riad la clé d'or,"Kasbah, Marrakech","1,7 km du centre",Établissement Voyage Durable,Exceptionnel ,"9,7",8 expériences vécues
Riad Noos Noos,"Mellah, Marrakech","1,9 km du centre","Le Riad Noos Noos vous accueille dans le marché aux épices à proximité du palais de la Bahia, à 10 minutes à pied de la place Jamaâ El Fna, à Marrakech. ",Fabuleux  ,"9,4",250 expériences vécues
Riad Wazani Square & SPA,"Médina, Marrakech","1,4 km du centre","Situé à Marrakech, à 400 mètres de la place Jemaa el-Fna et à 500 mètres du centre, le Riad Wazani Square & SPA propose des hébergements climatisés avec connexion Wi-Fi gratuite et un restaurant. ",Fabuleux  ,"9,3",383 expériences vécues
Caravan by Habitas Agafay,Marrakech,"26,3 km du centre",Établissement Voyage Durable,Note ,"5,7",4 expériences vécues
Riad Africa,"Médina, Marrakech","1,7 km du centre",Établissement Voyage Durable,Très bien ,"8,3",322 expériences vécues
Riad Star by Marrakech Riad,"Médina, Marrakech","1,5 km du centre",Établissement Voyage Durable,Superbe ,"8,7",93 expériences vécues
Riad Ayadina & SPA,"Médina, Marrakech",2 km du centre,Établissement Voyage Durable,Fabuleux  ,"9,0",222 expériences vécues
Riad Anyssates,"Médina, Marrakech","1,1 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,1",146 expériences vécues
Riad Zaouia 44,"Médina, Marrakech","1,6 km du centre","Situé à seulement 20 minutes à pied de la place Jemaa-el-Fna, le Riad Zaouia 44 dispose d'un jardin, d'un hammam et d'une piscine chauffée. ",Superbe ,"8,9",241 expériences vécues
Riad Les Yeux Bleus,"Médina, Marrakech",450 m du centre,"Doté d'une piscine extérieure, le Riad Les Yeux Bleus est situé dans la vieille médina de Marrakech, à seulement 10 minutes à pied de la place Jamaâ El Fna. ",Très bien ,"8,5",210 expériences vécues
Dar Warda,"Médina, Marrakech","0,9 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,4",98 expériences vécues
Riad Daria Suites & Spa,"Kasbah, Marrakech","2,2 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,1",83 expériences vécues
Riad De Charme Moullaoud,"Médina, Marrakech","1,7 km du centre",Établissement Voyage Durable,Très bien ,"8,4",328 expériences vécues
Riad Al Wafaa,Marrakech,"1,7 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,0",226 expériences vécues
Riad Azzouna 13,"Médina, Marrakech","1,7 km du centre",L'établissement Riad Azzouna 13 se situe à 100 mètres des souks et de la place Jamaâ El Fna. Il dispose d'une terrasse sur le toit offrant une vue sur la médina. ,Fabuleux  ,"9,0",129 expériences vécues
Riad dar Ourika,"Médina, Marrakech","1,1 km du centre","Situé au cœur de la médina, à 5 minutes à pied de la place Jamaâ El Fna, le Riad dar Ourika propose un toit-terrasse avec des chaises longues qui offre une vue sur l'Atlas et la médina. ",Fabuleux  ,"9,1",270 expériences vécues
Riad Dar One,"Mellah, Marrakech","1,9 km du centre","Le riad offre un havre de paix au cœur de la médina, à seulement quelques pas de la place Bahia, Rriad Dar One vous réserve un accueil chaleureux et amical Riad Dar One a été rénové avec élégance et ...",Fabuleux  ,"9,2",72 expériences vécues
The Lemonary Marrakech,Marrakech,"23,9 km du centre","Situé à Marrakech, à 25 km du palais de la Bahia, l'établissement The Lemonary Marrakech propose un restaurant, un parking privé gratuit, une piscine extérieure et un salon commun. ",Fabuleux  ,"9,3",50 expériences vécues
Palais Dar Si Aissa ALL-SUITES,"Médina, Marrakech","0,9 km du centre","Doté d'un bar, le Palais Dar Si Aissa ALL-SUITES est situé à Marrakech, dans la région de Marrakech-Safi, à 300 mètres du Jardin Secret et du musée de Mouassine. ",Très bien ,"8,2",54 expériences vécues
Janat Al Atlas,Marrakech,"7,1 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,2",13 expériences vécues
La Maison Des Oliviers,Marrakech,"7,3 km du centre",Établissement Voyage Durable,Très bien ,"8,4",434 expériences vécues
Riad Dar Essalam,"Médina, Marrakech","1,6 km du centre","Doté d'un restaurant, le Riad Dar Essalam vous accueille à Marrakech. Une connexion Wi-Fi est accessible gratuitement. Toutes ses chambres comprennent la climatisation, un minibar et une terrasse. ",Fabuleux  ,"9,2",102 expériences vécues
Riad Shemsi,"Kasbah, Marrakech","2,2 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,0",122 expériences vécues
Riad Swaka,"Médina, Marrakech","1,8 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,0",259 expériences vécues
Hostel Dar Ben Youssef,"Médina, Marrakech","1,3 km du centre","Doté d'un salon commun, d'une terrasse et d'une vue sur la ville, l'Hostel Dar Ben Youssef est situé à Marrakech, à 400 mètres du musée orientaliste. ",Superbe ,"8,7",274 expériences vécues
Maison Mk,"Médina, Marrakech","0,8 km du centre",Établissement Voyage Durable,Superbe ,"8,7",29 expériences vécues
Terra Mia Marrakech,Marrakech,"13,1 km du centre",Le Terra Mia Marrakech offre une vue sur les montagnes de l'Atlas. Cette maison marocaine traditionnelle assure un service de navette gratuit depuis et vers l'aéroport de 8h00 à 20h00. ,Très bien ,"8,0",141 expériences vécues
Riad Alma,"Kasbah, Marrakech","1,8 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,4",50 expériences vécues
Riad NaaNaa Bed & Breakfast,"Médina, Marrakech","1,3 km du centre","Bénéficiant d'un emplacement privilégié dans le centre de Marrakech, le Riad NaaNaa Bed & Breakfast propose des chambres climatisées, un salon commun et une terrasse. ",Fabuleux  ,"9,0",146 expériences vécues
Villas Fleurs Marrakech,Marrakech,"19,8 km du centre",Établissement Voyage Durable,Très bien ,"8,5",131 expériences vécues
Riad Miloud,Marrakech,1 km du centre,Établissement Voyage Durable,Exceptionnel ,"9,5",26 expériences vécues
Palais Riad Berbère,Marrakech,"6,6 km du centre",Établissement Voyage Durable,Superbe ,"8,9",150 expériences vécues
L'OLIVERAIE DE L'ATLAS,Marrakech,"10,2 km du centre",Établissement Voyage Durable,Superbe ,"8,8",457 expériences vécues
Riad Amira Victoria,"Médina, Marrakech","1,6 km du centre",Établissement Voyage Durable,Très bien ,"8,4",62 expériences vécues
Riad Hizad,"Médina, Marrakech","1,5 km du centre","Le Riad Hizad est situé dans le centre de Marrakech, à seulement 10 minutes à pied de la place Jemaâ El-Fna et de la mosquée Koutoubia. Il propose une piscine et un toit-terrasse donnant sur la...",Fabuleux  ,"9,4",169 expériences vécues
